"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins"
"55-1983","tt0083615","Ballet Robotique",1982,"N/A","8 min","Short","Bob Rogers","N/A","N/A","In Ballet Robotique, the graceful movements of giant assembly line robots are perfectly synchronized to classical music recorded by London's Royal Philharmonic Orchestra. This may be the ...","English","USA","Nominated for 1 Oscar. Another 3 wins.","https://m.media-amazon.com/images/M/MV5BMDI1NjI4NjMtYmViNi00ZWEwLTk4ZmItZGYzNzY5OTUyYTI4XkEyXkFqcGdeQXVyNjEzNTExNDA@._V1_SX300.jpg","N/A","7.3","42","tt0083615","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0083638","Ben's Mill",1982,"N/A","59 min","Documentary","Michel Chalufour, John Karol","N/A","N/A","Ben Thresher's mill is one of the few water-powered woodworking mills left in the United States. Operating in rural Vermont, he makes water tubs by hand.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDAzYTFiNmMtZmI4NS00ZTA4LWFkYWEtZDMzYjQzNzE4NGI3XkEyXkFqcGdeQXVyMTE0MjExNA@@._V1_SX300.jpg","N/A","8.0","44","tt0083638","movie",NA,NA,NA,NA,"8.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0083641","Best Friends",1982,"PG","116 min","Comedy, Drama, Romance","Norman Jewison","Valerie Curtin, Barry Levinson","Burt Reynolds, Goldie Hawn, Jessica Tandy","After five successful years of living and working together, a couple decide to get married. But what they don't count on is how to survive the honeymoon.","English, Spanish","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BM2FiN2RhNTMtYmU1OS00MGE1LWI5YzctMGUxOTQyMmE2NmRlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","70","5.5","2,845","tt0083641","movie",NA,NA,NA,NA,"5.5/10","70/100","62%",NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0083642","The Best Little Whorehouse in Texas",1982,"R","114 min","Comedy, Musical","Colin Higgins","Larry L. King, Peter Masterson, Colin Higgins","Burt Reynolds, Dolly Parton, Dom DeLuise","A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.","English","United States","Nominated for 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BM2Y3M2Y1MzUtNWViYi00YzZjLWE0YzUtMWVjYzc2YjI3Y2I2L2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","40","6.0","11,991","tt0083642","movie",NA,NA,NA,NA,"6.0/10","40/100","42%",NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0083658","Blade Runner",1982,"R","117 min","Action, Drama, Sci-Fi","Ridley Scott","Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","English, German, Cantonese, Japanese, Hungarian, Arabic, Korean","United States","Nominated for 2 Oscars. 12 wins & 19 nominations total","https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","84","8.1","737,126","tt0083658","movie",NA,NA,NA,NA,"8.1/10","84/100","89%",9,"2021-07-14",NA,"Y",NA,NA,2,2,0
"55-1983","tt0083732","Private Life",1982,"N/A","102 min","Drama","Yuli Raizman","Anatoli Grebnev, Yuli Raizman","Mikhail Ulyanov, Iya Savvina, Irina Gubanova","A man gets fired from his comfortable government job. He reacts as if it's the end of the world; slowly he finds things to live for. Private Life was nominated for the Academy Award in the Foreign Language Feature category.","Russian","Soviet Union","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMWJhYjk3MjItNzg1OC00ZmJiLWE2OTMtYTBmMTAwNzNhZTMzXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg","N/A","7.0","213","tt0083732","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0083833","Diner",1982,"R","110 min","Comedy, Drama","Barry Levinson","Barry Levinson","Steve Guttenberg, Mickey Rourke, Kevin Bacon","A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.","English","United States","Nominated for 1 Oscar. 3 wins & 6 nominations total","https://m.media-amazon.com/images/M/MV5BYzcwMGNhNDMtYjVlOC00NjA4LTk1M2MtOTI2OGVmMDMxNWUwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","82","7.1","20,569","tt0083833","movie",NA,NA,NA,NA,"7.1/10","82/100","93%",NA,NA,NA,NA,NA,"Y",1,1,0
"55-1983","tt0083866","E.T. the Extra-Terrestrial",1982,"PG","115 min","Adventure, Family, Sci-Fi","Steven Spielberg","Melissa Mathison","Henry Thomas, Drew Barrymore, Peter Coyote","A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.","English","United States","Won 4 Oscars. 52 wins & 36 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","91","7.8","393,988","tt0083866","movie",NA,NA,NA,NA,"7.8/10","91/100","99%",8,"2021-07-09",NA,NA,NA,NA,9,5,4
"55-1983","tt0083967","Frances",1982,"R","140 min","Biography, Drama, Romance","Graeme Clifford","Eric Bergren, Christopher De Vore, Nicholas Kazan","Jessica Lange, Sam Shepard, Kim Stanley","The story of Frances Farmer's meteoric rise to fame in Hollywood and the tragic turn her life took when she was blacklisted.","English","United States","Nominated for 2 Oscars. 2 wins & 9 nominations total","https://m.media-amazon.com/images/M/MV5BZjNlYTgwZjktNTZjNy00NTMxLWI1ODAtM2NiYWUwZjNlM2JlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","48","7.3","7,762","tt0083967","movie",NA,NA,NA,NA,"7.3/10","48/100","66%",NA,NA,NA,NA,NA,NA,2,2,0
"55-1983","tt0083987","Gandhi",1982,"PG","191 min","Biography, Drama","Richard Attenborough","John Briley","Ben Kingsley, John Gielgud, Rohini Hattangadi","The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.","English, Hindi","United Kingdom, India, United States, South Africa","Won 8 Oscars. 35 wins & 21 nominations total","https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg","79","8.0","225,157","tt0083987","movie",NA,NA,NA,NA,"8.0/10","79/100","85%",6,"2021-09-16",NA,NA,NA,NA,11,3,8
"55-1983","tt0084009","Gods of Metal",1982,"N/A","28 min","Documentary, Short","Robert Richter","N/A","N/A","Academy Award nominee for best documentary short, based on biblical premise, applicable to today's nuclear proliferation: ""Do not worship false Gods of Metal.""","English","United States, Canada","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjEwMTc1NDI0M15BMl5BanBnXkFtZTgwMzM0ODk1MDE@._V1_SX300.jpg","N/A","8.0","23","tt0084009","movie",NA,NA,NA,NA,"8.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084023","The Great Cognito",1982,"N/A","4 min","Animation, Short","Will Vinton","Susan Shadburne, John Morrison","John Morrison, Tim Conner, Brian Bressler","In clay animation, the impersonator known as The Greath Cognito literally transforms into countless faces of famous people.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTU2NDExMjU4M15BMl5BanBnXkFtZTYwNDMxOTc4._V1_SX300.jpg","N/A","6.0","320","tt0084023","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084118","If You Love This Planet",1982,"N/A","26 min","Documentary, Short","Terre Nash","N/A","Helen Caldicott, Vannevar Bush, Winston Churchill","An Australian pediatrician gives a speech on the consequences of a nuclear war.","English","Canada","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BNDRjMWEwM2MtMDJiZC00MDk2LWFjNTUtMzE3MmQ0ODU4NjNlXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","7.4","150","tt0084118","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"55-1983","tt0084127","In Our Water",1982,"N/A","60 min","Documentary","Meg Switzgable","N/A","Frank Kaler, Rita Kaler, Ted Kordis","A New Jersey family discovers their drinking water is contaminated with deadly poisons from a nearby landfill.","English","United States","Nominated for 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BZDY3YTU0NDEtZDhkNy00MmE2LTk4ODMtN2Y3MDBmN2MzMzgwXkEyXkFqcGdeQXVyMTQ5MDg0NDk@._V1_SX300.jpg","N/A","7.6","45","tt0084127","movie",NA,NA,NA,NA,"7.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084136","The Flight of the Eagle",1982,"N/A","140 min","Adventure, Biography, Drama","Jan Troell","Klaus Rifbjerg, Ian Rakoff, Jan Troell","Max von Sydow, Sverre Anker Ousdal, Göran Stangertz","In 1897 Swedish engineer S. A. Andrée with 2 colleagues prepares to fly over the North Pole in his balloon ""Eagle"".","Swedish, French, English","Sweden, West Germany, Norway","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BZDljNDRkY2MtMWRhZi00NGQyLTllNzItMTBkNDk4ZmY1ZTE5XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg","N/A","7.2","980","tt0084136","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084213","The Klan: A Legacy of Hate in America",1982,"N/A","30 min","Documentary, Short","Werner Schumann","Charles Guggenheim, Patsy Sims","James Whitmore","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.0","28","tt0084213","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084335","Missing",1982,"PG","122 min","Biography, Drama, History","Costa-Gavras","Costa-Gavras, Donald E. Stewart, Thomas Hauser","Jack Lemmon, Sissy Spacek, Melanie Mayron","When an idealistic American writer disappears during the Chilean coup d'état in September 1973, his wife and father try to find him.","English, Spanish, French","United States, Mexico","Won 1 Oscar. 12 wins & 21 nominations total","https://m.media-amazon.com/images/M/MV5BMGJmOGZiN2YtYWI2MS00ZGQzLWEwMmQtZTdiYjFjOWFiZDg4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg","78","7.7","21,042","tt0084335","movie",NA,NA,NA,NA,"7.7/10","78/100","94%",NA,NA,NA,NA,NA,"Y",4,3,1
"55-1983","tt0084370","My Favorite Year",1982,"PG","92 min","Comedy, Drama","Richard Benjamin","Norman Steinberg, Dennis Palumbo","Peter O'Toole, Mark Linn-Baker, Jessica Harper","An aging, dissolute matinee idol is slated to appear on a live TV variety show in 1954, and a young comedy writer is tasked with the thankless job of keeping him ready and sober for the broadcast.","English","United States","Nominated for 1 Oscar. 2 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BNjlhZTYwYzgtODA5MS00OWEyLWI1MWItZThjZmRlYTQ1MGE2XkEyXkFqcGdeQXVyNDI4ODM5MDM@._V1_SX300.jpg","62","7.4","9,522","tt0084370","movie",NA,NA,NA,NA,"7.4/10","62/100","96%",5,"2022-08-21",NA,NA,NA,NA,1,1,0
"55-1983","tt0084434","An Officer and a Gentleman",1982,"R","124 min","Drama, Romance","Taylor Hackford","Douglas Day Stewart","Richard Gere, Debra Winger, David Keith","A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.","English, Filipino","United States","Won 2 Oscars. 9 wins & 13 nominations total","https://m.media-amazon.com/images/M/MV5BNTM5NmY2MTktODRiMS00NTQwLTk2ODEtZTFhYjAyMTZmMTc5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","75","7.0","54,904","tt0084434","movie",NA,NA,NA,NA,"7.0/10","75/100","78%",6,"2021-10-17",NA,NA,NA,NA,6,4,2
"55-1983","tt0084445","One from the Heart",1981,"R","107 min","Drama, Musical, Romance","Francis Ford Coppola","Armyan Bernstein, Francis Ford Coppola, Luana Anders","Frederic Forrest, Teri Garr, Raul Julia","A couple has a fight after living together 5 years in Las Vegas. They go out and celebrate 4th of July, each with a new partner. Breakup?","English, German","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2JmMjA3YzctYmE1Yi00Yzg1LThjOGUtZGEyNDdlMzljN2M2XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg","57","6.5","6,014","tt0084445","movie",NA,NA,NA,NA,"6.5/10","57/100","50%",NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084516","Poltergeist",1982,"PG","114 min","Horror, Thriller","Tobe Hooper","Steven Spielberg, Michael Grais, Mark Victor","JoBeth Williams, Heather O'Rourke, Craig T. Nelson","A family's home is haunted by a host of demonic ghosts.","English","United States","Nominated for 3 Oscars. 4 wins & 7 nominations total","https://m.media-amazon.com/images/M/MV5BNzliZmRlYTctYmNkYS00NzE5LWI1OWQtMTRiODY5MDMwMTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","79","7.3","156,213","tt0084516","movie",NA,NA,NA,NA,"7.3/10","79/100","87%",7,"2021-09-03",NA,NA,NA,NA,3,3,0
"55-1983","tt0084524","A Portrait of Giselle",1982,"N/A","97 min","Documentary","Muriel Balash","N/A","N/A","A profile of famous ballerinas who have danced the role of Giselle.","N/A","United States, Canada","Nominated for 1 Oscar. 2 nominations total","N/A","N/A","7.2","24","tt0084524","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084602","Rocky III",1982,"PG","99 min","Drama, Sport","Sylvester Stallone","Sylvester Stallone","Sylvester Stallone, Talia Shire, Burt Young","Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion.","English","United States","Nominated for 1 Oscar. 3 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BMTMyOTYzMDMzMF5BMl5BanBnXkFtZTcwMTkzODM1NA@@._V1_SX300.jpg","57","6.8","184,662","tt0084602","movie",NA,NA,NA,NA,"6.8/10","57/100","66%",6,"2021-10-14",NA,NA,NA,NA,1,1,0
"55-1983","tt0084672","A Shocking Accident",1982,"N/A","25 min","Short, Comedy, Romance","James Scott","Graham Greene, James Scott, Ernie Eban","Rupert Everett, Jenny Seagrove, Barbara Hicks","When he was a child, Jerome was told that his father died on a bizarre accident involving a pig that fell from a balcony. He refuses to accept this fact and keeps creating another scenario as replacement to his father's strange death","English","United Kingdom","Won 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BYjA1ZDQ0NDktM2Q2NS00MTMzLTg1ZjItMDQ1ZjI3YzZlMzY5XkEyXkFqcGdeQXVyMTYzNTE3NDA@._V1_SX300.jpg","N/A","7.4","65","tt0084672","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"55-1983","tt0084683","The Silence",1982,"N/A","30 min","Short","Michael Toshiyuki Uno","Paul G. Hensler","Lynn Kuratomi, Eric Mansker, Seth Anthony Krakauer","During the Vietnam War, soldier Jason is injured and separated from his platoon. Mei, a mysterious young woman, finds him and takes him into her home.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjVkY2EwZmYtN2YxNS00ZTEwLTg4MDEtMDViNWMwOGEwZDk2XkEyXkFqcGdeQXVyNTMyODM3MTg@._V1_SX300.jpg","N/A","7.4","33","tt0084683","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084701","The Snowman",1982,"G","26 min","Animation, Family, Fantasy","Jimmy T. Murakami, Dianne Jackson","Raymond Briggs (from the book by)","David Bowie, Peter Auty, Raymond Briggs","On Christmas Eve, a young boy builds a snowman that comes to life and takes him to the North Pole to meet Father Christmas.","N/A","UK","Nominated for 1 Oscar. Another 2 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMWM2MWMyYzYtNGJlMC00Mzk0LTk3NjEtYzY5OWQzOTY3ZmZhXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg","N/A","8.2","13,138","tt0084701","movie",NA,NA,NA,NA,"8.2/10",NA,"80%",7,"2021-12-07",NA,NA,NA,NA,1,1,0
"55-1983","tt0084707","Sophie's Choice",1982,"R","150 min","Drama, Romance","Alan J. Pakula","William Styron, Alan J. Pakula","Meryl Streep, Kevin Kline, Peter MacNicol","Sophie is the survivor of Nazi concentration camps, who has found a reason to live with Nathan, a sparkling if unsteady American Jew obsessed with the Holocaust.","English, Polish, German, French, Russian","United Kingdom, United States","Won 1 Oscar. 13 wins & 12 nominations total","https://m.media-amazon.com/images/M/MV5BMTk3NDUyYTEtMzkyZi00YjMzLTkwMDUtYWMzNjIwNmM5NWQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","68","7.6","46,637","tt0084707","movie",NA,NA,NA,NA,"7.6/10","68/100","78%",NA,NA,"Prime",NA,NA,"Y",5,4,1
"55-1983","tt0084713","Split Cherry Tree",1982,"N/A","26 min","Short, Drama","Andrey Konchalovskiy","N/A","Colleen Dewhurst, Jason Edward Alexander, Keith Dowd","On a school field trip some boys break a cherry tree and are punished. One of the boys has an overbearing father who believes in hard work and does not see the value in education. The surly father goes to confront the school.","English","Canada, United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.3","65","tt0084713","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084722","Sredni Vashtar",1981,"N/A","27 min","Short, Fantasy","Andrew Birkin","Hector Hugh Munro, Andrew Birkin","Sacha Puttnam, Judy Campbell, Lila Kaye","Young Conradin keeps a sort of pet, a polecat which is hidden from the unpleasant aunt who is his guardian. He also sends prayers to an imaginary deity, Sredni Vashtar, that he be delivered from the aunt - and his prayers are answere","English","United Kingdom","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTUzNDI2OTg4NF5BMl5BanBnXkFtZTcwODAyNTEyMQ@@._V1_SX300.jpg","N/A","7.4","64","tt0084722","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084764","Tango",1981,"N/A","8 min","Animation, Short","Zbigniew Rybczynski","Zbigniew Rybczynski","N/A","Subsequent characters appear in a poorly-decorated room, intertwining but never colliding, all possessed by never-ending rituals.","None","Poland","Won 1 Oscar. 6 wins total","https://m.media-amazon.com/images/M/MV5BNDFiODcyNDYtNDM5MC00ZDM3LTk1MzQtYzk1ZmY5ZTg1YWRhXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg","N/A","7.7","2,722","tt0084764","movie",NA,NA,NA,NA,"7.7/10",NA,NA,7,"2023-05-19",NA,NA,NA,NA,1,0,1
"55-1983","tt0084798","To Live or Let Die",1982,"N/A","30 min","Documentary, Short","Terry Sanders","N/A","N/A","At the neonatal I.C.U. of Children's Hospital in Los Angeles, life and death decisions must be made while ethical dilemmas are posed by new technologies.","English","United States, Canada","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.0","36","tt0084798","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084805","Tootsie",1982,"PG","116 min","Comedy, Drama, Romance","Sydney Pollack","Don McGuire, Larry Gelbart, Murray Schisgal","Dustin Hoffman, Jessica Lange, Teri Garr","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.","English","United States","Won 1 Oscar. 25 wins & 30 nominations total","https://m.media-amazon.com/images/M/MV5BMTY4MGJjMTktNGM4Ni00ODliLWJlYjQtNjc4NmY2NjQ3NzEzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","88","7.4","103,582","tt0084805","movie",NA,NA,NA,NA,"7.4/10","88/100","90%",NA,NA,NA,NA,NA,"Y",9,9,0
"55-1983","tt0084820","Traveling Hopefully",1982,"N/A","84 min","Documentary","John G. Avildsen","N/A","Roger Baldwin","A documentary about Roger Baldwin, the founder of the ACLU.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.2","45","tt0084820","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0084821","La traviata",1982,"G","109 min","Drama, Music","Franco Zeffirelli","Francesco Maria Piave, Franco Zeffirelli, Alexandre Dumas fils","Teresa Stratas, Plácido Domingo, Cornell MacNeil","Violetta meets Alfredo and quickly falls for him. After the lovers run away together, they live in bliss for a short time. However, Alfredo's father, Giorgio, starts to interfere, concerned that Violetta's bad reputation will affect","Italian","Netherlands, Italy","Nominated for 2 Oscars. 6 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BMDJlNzkxYzgtZjBjMC00MjI5LThmM2MtMTE4MDk0ZGYzNTYzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","N/A","7.2","1,407","tt0084821","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,2,2,0
"55-1983","tt0084827","TRON",1982,"PG","96 min","Action, Adventure, Sci-Fi","Steven Lisberger","Steven Lisberger, Bonnie MacBird, Charles S. Haas","Jeff Bridges, Bruce Boxleitner, David Warner","A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.","English","United States","Nominated for 2 Oscars. 2 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BMzZhNjYyZDYtZmE4MC00M2RlLTlhOGItZDVkYTVlZTYxOWZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","58","6.8","118,493","tt0084827","movie",NA,NA,NA,NA,"6.8/10","58/100","71%",7,"2021-07-11",NA,"Y",NA,NA,2,2,0
"55-1983","tt0084855","The Verdict",1982,"R","129 min","Drama","Sidney Lumet","Barry Reed, David Mamet, Jay Presson Allen","Paul Newman, Charlotte Rampling, Jack Warden","An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.","English","United States","Nominated for 5 Oscars. 3 wins & 14 nominations total","https://m.media-amazon.com/images/M/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1_SX300.jpg","77","7.7","38,829","tt0084855","movie",NA,NA,NA,NA,"7.7/10","77/100","89%",NA,NA,NA,NA,NA,"Y",5,5,0
"55-1983","tt0084865","Victor Victoria",1982,"PG","134 min","Comedy, Music, Romance","Blake Edwards","Blake Edwards, Hans Hoemburg, Reinhold Schünzel","Julie Andrews, James Garner, Robert Preston","A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.","English, French","United Kingdom, United States","Won 1 Oscar. 11 wins & 18 nominations total","https://m.media-amazon.com/images/M/MV5BOTdmYmNmMGUtNTE4Mi00OWE2LWI5MTItYzZkN2RlNTMyYzg0XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","84","7.6","20,944","tt0084865","movie",NA,NA,NA,NA,"7.6/10","84/100","97%",6,"2022-05-17",NA,NA,NA,NA,7,6,1
"55-1983","tt0084874","Volver a empezar",1982,"PG","87 min","Drama","José Luis Garci","José Luis Garci, Ángel Llorente, Jaime Camino","Antonio Ferrandis, Encarna Paso, José Bódalo","A Nobel prize winner returns to his natal city looking for his home.","Spanish, English","Spain","Won 1 Oscar. 4 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BYmZlMzQ3ZDQtYzBjZi00YjExLThlYTYtMGFhODM3ZTMyYzFkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","N/A","7.0","1,415","tt0084874","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"55-1983","tt0084917","The World According to Garp",1982,"R","136 min","Comedy, Drama","George Roy Hill","John Irving, Steve Tesich","Robin Williams, Mary Beth Hurt, Glenn Close","A struggling young writer finds his life and work dominated by his unfaithful wife and his radical feminist mother, whose best-selling manifesto turns her into a cultural icon.","English","United States","Nominated for 2 Oscars. 5 wins & 6 nominations total","https://m.media-amazon.com/images/M/MV5BMTk4MzQ3NTQzOV5BMl5BanBnXkFtZTgwNDE0ODg4MDE@._V1_SX300.jpg","63","7.2","26,318","tt0084917","movie",NA,NA,NA,NA,"7.2/10","63/100","74%",4,"2023-06-05",NA,NA,NA,NA,2,2,0
"55-1983","tt0084931","Yes, Giorgio",1982,"PG","110 min","Comedy, Musical","Franklin J. Schaffner","Anne Piper, Norman Steinberg","Luciano Pavarotti, Kathryn Harrold, Eddie Albert","A famous opera singer, Giorgio Fini, loses his voice during an American tour. He goes to a female throat specialist, Pamela Taylor, whom he falls in love with.","English, Italian","United States","Nominated for 1 Oscar. 5 nominations total","https://m.media-amazon.com/images/M/MV5BZTYzYzcwMTEtYzg2NC00YjY4LTk1YzktOTc5NWQxOTNkNTRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_SX300.jpg","N/A","3.9","728","tt0084931","movie",NA,NA,NA,NA,"3.9/10",NA,"33%",NA,NA,NA,NA,NA,NA,1,1,0
"55-1983","tt0169446","The Fifth Estate",NA,"N/A","60 min","Documentary, News","N/A","N/A","Bob McKeown, Mark Kelley, Gillian Findlay","Investigative journalist news documentaries are presented.","English","Canada","Won 1 Oscar. 26 wins & 48 nominations total","https://m.media-amazon.com/images/M/MV5BMjMyNWRhMjUtOTIzNC00MWYzLWE5YTgtZmRjZDRjYmVlMDI3XkEyXkFqcGdeQXVyNjU0NTkxOTc@._V1_SX300.jpg","N/A","7.9","196","tt0169446","series",NA,NA,NA,NA,"7.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"56-1984","tt0083688","Boys and Girls",1983,"N/A","22 min","Short","Don McBrearty","Joe Wiesenfeld, Alice Munro","Megan Follows, David Fox, Clare Coulter","A girl growing up on a fox farm in rural Canada must deal with the gender roles she is expected to conform to by her loving - yet unobservant parents.","English","Canada","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BNTQ0MjkzZGMtNzNkNS00NDM2LWIzZjUtYTNjOGIwYzk3ZmQ3XkEyXkFqcGdeQXVyMjQ4ODQxNjI@._V1_SX300.jpg","N/A","6.6","71","tt0083688","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
